C:\Documents and Settings\Michael\My Documents\camera\sei\schematic.dxf,Layout1,24/02/2011 16:42:52,Michael Whyte-Venables, Chartered Architect,Brother DCP-315CN Printer,A4,1:1,
C:\Documents and Settings\Michael\My Documents\camera\sei\hazel#2.dwg,Layout1,05/06/2012 18:08:40,Michael Whyte-Venables, Chartered Architect,CutePDF Writer,A4,1:1,
C:\Documents and Settings\Michael\My Documents\camera\sei\hazel#2.dwg,Layout1,05/06/2012 18:11:06,Michael Whyte-Venables, Chartered Architect,CutePDF Writer,A4,1:1,
C:\Documents and Settings\Michael\My Documents\Drawing1.dwg,Layout1,06/06/2012 17:30:32,Michael Whyte-Venables, Chartered Architect,Brother DCP-315CN Printer,A5,1:1,
C:\Documents and Settings\Michael\My Documents\Drawing1.dwg,Layout1,06/06/2012 17:59:40,Michael Whyte-Venables, Chartered Architect,Brother DCP-315CN Printer,A4,1:1,
C:\Documents and Settings\Michael\My Documents\Drawing1.dwg,Layout 2,06/06/2012 18:04:30,Michael Whyte-Venables, Chartered Architect,Brother DCP-315CN Printer,A4,1:1,
C:\Documents and Settings\Michael\My Documents\camera\sei\slip.dwg,Layout1,06/06/2012 23:30:17,Michael Whyte-Venables, Chartered Architect,Brother DCP-315CN Printer,A4,1:1,
C:\Documents and Settings\Michael\My Documents\camera\sei\slip.dwg,Layout 2,06/06/2012 23:31:48,Michael Whyte-Venables, Chartered Architect,Brother DCP-315CN Printer,A4,1:1,
C:\Documents and Settings\Michael\My Documents\camera\sei\hazel#2.dwg,Layout1,07/06/2012 10:35:46,Michael Whyte-Venables, Chartered Architect,CutePDF Writer,A4,1:1,
C:\Documents and Settings\Michael\My Documents\camera\sei\hazel#2.dwg,Layout1,07/06/2012 10:37:03,Michael Whyte-Venables, Chartered Architect,CutePDF Writer,A4,1:1,
C:\Documents and Settings\Michael\My Documents\Drawing1.dwg,Layout1,21/06/2012 12:04:32,Michael Whyte-Venables, Chartered Architect,Canon iPF605.pc3,Custom Size,1:1,
C:\Documents and Settings\Michael\My Documents\Drawing1.dwg,Layout1,21/06/2012 12:26:51,Michael Whyte-Venables, Chartered Architect,Canon iPF605.pc3,Custom Size,1:1,
C:\Documents and Settings\Michael\My Documents\Drawing1.dwg,Layout1,21/06/2012 12:29:50,Michael Whyte-Venables, Chartered Architect,Canon iPF605.pc3,Custom Size,1:1,
C:\Documents and Settings\Michael\My Documents\camera\sei\hazel#4.dwg,Layout1,07/07/2012 15:49:48,Michael Whyte-Venables, Chartered Architect,CutePDF Writer,A4,1:1,
C:\Documents and Settings\Michael\My Documents\camera\sei\hazel#4.dwg,layout2,22/07/2012 22:36:43,Michael Whyte-Venables, Chartered Architect,CutePDF Writer,A4,1:1,
C:\Documents and Settings\All Users\Documents\candelabra.dwg,Layout1,16/10/2012 19:59:16,Michael Whyte-Venables, Chartered Architect,Canon iPF605,ISO A1,1:1,
